"Year","Population","Total Murders","Murder Rate per 100,000","Total by Firearm","Murder by Firearm Rate per 100,000","Total Handgun","Total Other Firearm","Total Percent by Firearms","Percent by Handguns","Percent by Other Firearms","Total by Firearm % change","Population % Change"
"1971","7041074","932","13.2","628","8.919093876871624","509","119","67.4","54.6","12.8","",""
"1972","7441545","924","12.4","642","8.627240714125897","539","103","69.5","58.3","11.1","2.2","5.7"
"1973","7845092","1182","15.1","769","9.80230697103361","637","132","65.1","53.9","11.2","19.8","5.4"
"1974","8248851","1190","14.4","848","10.28021963301313","687","161","71.3","57.7","13.5","10.3","5.1"
"1975","8485230","1132","13.3","747","8.803532726867745","616","131","66","54.4","11.6","-11.9","2.9"
"1976","8551814","902","10.5","575","6.723719669300571","466","109","63.7","51.7","12.1","-23","0.8"
"1977","8717334","857","9.8","507","5.815998331600006","415","92","59.2","48.4","10.7","-11.8","1.9"
"1978","8967206","949","10.6","542","6.04424611188814","437","105","57.1","46","11.1","6.9","2.9"
"1979","9245231","1084","11.7","650","7.030651803075553","526","124","60","48.5","11.4","19.9","3.1"
"1980","9579497","1387","14.5","839","8.758288665887154","702","137","60.5","50.6","9.9","29.1","3.6"
"1981","10097754","1523","15.1","890","8.813841176958757","768","122","58.4","50.4","8","6.1","5.4"
"1982","10375332","1410","13.6","807","7.778064354952689","678","129","57.2","48.1","9.1","-9.3","2.7"
"1983","10591701","1203","11.4","571","5.391013209304152","483","88","47.5","40.1","7.3","-29.2","2.1"
"1984","10930389","1264","11.6","585","5.352051056920298","486","99","46.3","38.4","7.8","2.5","3.2"
"1985","11278547","1297","11.5","553","4.903113849682942","456","97","42.6","35.2","7.5","-5.5","3.2"
"1986","11657843","1371","11.8","628","5.386931355997846","532","96","45.8","38.8","7","13.6","3.4"
"1987","12043608","1368","11.4","697","5.787302276859227","569","128","51","41.6","9.4","11","3.3"
"1989","12797318","1405","10.978862914870131","888","6.938953927690162","700","188","63.2","49.8","13.4","","3.1"
"1990","13150027","1387","10.5","873","6.6387696390281175","585","288","62.9","42.2","20.8","-1.7","2.8"
"1991","13195952","1276","9.7","806","6.107933705730363","565","241","63.2","44.3","18.9","-7.7","0.3"
"1992","13424416","1191","8.9","789","5.877350642292373","554","235","66.2","46.5","19.7","-2.1","1.7"
"1993","13608627","1187","8.7","800","5.878623905262448","525","275","67.4","44.2","23.2","1.4","1.4"
"1994","13878905","1152","8.3","739","5.324627555271832","517","222","64.1","44.9","19.3","-7.6","2"
"1995","14149317","1030","7.3","687","4.855358036009795","460","227","66.7","44.7","22","-7","1.9"
"1996","14411563","1077","7.5","668","4.635166914234077","","","62","","","-2.8","1.9"
"1997","14712922","1014","6.9","634","4.309137233242995","","","62.5","","","-5.1","2.1"
"1998","15000475","966","6.4","589","3.9265423261596717","392","197","60.97308488612836","40.57971014492754","20.39337474120083","-7.097791798107256","1.9544248246541374"
"1999","15322040","856","5.6","460","3.002211193809701","347","113","53.73831775700935","40.53738317757009","13.200934579439252","-21.901528013582343","2.143698782871876"
"2000","15982378","890","5.6","499","3.1221887005801015","366","133","56.067415730337075","41.12359550561798","14.9438202247191","8.478260869565217","4.309726381082415"
"2001","16331739","867","5.3","502","3.0737694252890035","339","163","57.90080738177624","39.10034602076124","18.800461361014996","0.6012024048096193","2.1859137607682664"
"2002","16674608","906","5.433411088284655","552","3.310422649815816","392","160","60.9271523178808","43.26710816777042","17.660044150110377","9.9601593625498","2.099402886612381"
"2003","17071508","924","5.412527118283868","586","3.432620012244964","396","190","63.41991341991342","42.857142857142854","20.562770562770563","6.159420289855073","2.3802658509273504"
"2004","17516732","946","5.400550741999136","555","3.1683992196717976","341","214","58.66807610993657","36.04651162790697","22.621564482029598","-5.290102389078498","2.6079945602930916"
"2005","17918227","881","4.91678110786296","521","2.9076537539121476","321","200","59.13734392735528","36.43586833144155","22.701475595913735","-6.126126126126126","2.2920656661299605"
"2006","18349132","1129","6.2","740","4.032888313191054","450","290","65.54472984942427","39.85828166519043","25.686448184233836","42.034548944337814","2.4048417290393744"
"2007","18680367","1202","6.4","825","4.416401455067772","506","319","68.63560732113145","42.09650582362729","26.53910149750416","11.486486486486488","1.8051807573241065"
"2008","18807219","1168","6.21038123711964","780","4.147343634377842","456","324","66.78082191780823","39.04109589041096","27.73972602739726","-5.454545454545454","0.6790658877312207"
"2009","18750483","1017","5.423860281359152","695","3.706571185392931","412","283","68.33824975417896","40.511307767944935","27.826941986234022","-10.897435897435898","-0.30167139543597593"
"2010","18771768","987","5.25789579329981","669","3.5638624981940965","389","280","67.78115501519757","39.41236068895643","28.368794326241137","-3.741007194244604","0.11351707580012739"
"2011","18905048","985","5.210248606615545","691","3.6551084133719205","390","301","70.15228426395939","39.59390862944163","30.558375634517766","3.288490284005979","0.7100023823009106"
"2012","19074434","1009","5.3","722","3.7851712926318024","358","364","71.55599603567889","35.4806739345887","36.075322101090194","4.486251808972503","0.8959829141930769"
"2013","19259543","971","5","695","3.6086006817503407","314","381","71.57569515962925","32.33779608650875","39.237899073120495","-3.739612188365651","0.9704560565204714"
"2014","19507369","983","5.03912136998075","690","3.5371248680434557","289","401","70.19328585961343","29.399796541200406","40.79348931841302","-0.7194244604316548","1.286769888569007"
"2015","19815183","1040","5.2","767","3.870769197539079","340","427","73.75","32.69230769230769","41.05769230769231","11.159420289855072","1.577937034973809"
"2016","20148654","1108","5.5","847","4.203754752054405","405","442","76.44404332129963","36.55234657039711","39.891696750902526","10.430247718383312","1.6829064864048948"
"2017","20484142","1057","5.160089204614965","791","3.861523709413848","379","412","74.83443708609272","35.856196783349105","38.978240302743615","-6.6115702479338845","1.6650640782257715"
"2018","20840986","1107","5.3","836","4.011326527449325","454","382","75.5","41.1","34.5","4.7","1.7"
